
C:\Users\rache\Desktop\rushexit\games\a-history-of-birds>python -m cProfile -s tottime a_history_of_birds.py
         5012731 function calls (5007026 primitive calls) in 14.017 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1445419    3.689    0.000    3.689    0.000 {numpy.core.multiarray.array}
   361491    2.101    0.000    5.637    0.000 maths.py:26(rotate)
   119899    0.884    0.000    8.393    0.000 maths.py:4(create_transformation_matrix)
   120499    0.838    0.000    0.950    0.000 shader_program.py:47(load_matrix)
   601887    0.790    0.000    0.790    0.000 {numpy.core.multiarray.dot}
      299    0.762    0.003   11.026    0.037 entity_renderer.py:11(render)
   119600    0.675    0.000    0.714    0.000 master_renderer.py:42(process_entity)
        1    0.447    0.447    0.447    0.447 {pygame.base.init}
   119600    0.417    0.000    9.961    0.000 entity_renderer.py:37(prepare_entity)
        1    0.406    0.406    0.406    0.406 {pygame.base.quit}
   120497    0.313    0.000    0.415    0.000 twodim_base.py:192(eye)
   120497    0.289    0.000    0.704    0.000 numeric.py:2279(identity)
      299    0.271    0.001    0.282    0.001 terrain_renderer.py:16(prepare_terrain)
      598    0.234    0.000    0.262    0.000 entity_renderer.py:19(prepare_textured_model)
   120497    0.200    0.000    0.624    0.000 maths.py:21(translate)
   119899    0.188    0.000    0.596    0.000 maths.py:39(scale)
   119600    0.153    0.000    1.087    0.000 static_shader.py:24(load_transformation_matrix)
        1    0.120    0.120   14.018   14.018 a_history_of_birds.py:1(<module>)
   120528    0.102    0.000    0.102    0.000 {numpy.core.multiarray.zeros}
        1    0.092    0.092    0.234    0.234 {pygame.display.set_mode}
      299    0.090    0.000    0.090    0.000 {pygame.display.flip}
        1    0.080    0.080    0.083    0.083 terrain.py:22(generate_terrain)
      299    0.070    0.000    0.070    0.000 {pygame.display.set_caption}
    59800    0.054    0.000    0.054    0.000 entity.py:15(increase_rotation)
   119600    0.029    0.000    0.029    0.000 entity.py:23(get_position)
   119600    0.025    0.000    0.025    0.000 entity.py:19(get_model)
      299    0.025    0.000    0.025    0.000 {pygame.event.get}
   120198    0.019    0.000    0.019    0.000 textured_model.py:5(get_raw_model)
       25    0.018    0.001    0.216    0.009 __init__.py:1(<module>)
      299    0.018    0.000    0.018    0.000 master_renderer.py:38(prepare)
   134458    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
   119899    0.017    0.000    0.017    0.000 raw_model.py:7(get_vertex_count)
     1300    0.017    0.000    0.021    0.000 baseplatform.py:308(nullFunction)
   119600    0.016    0.000    0.016    0.000 entity.py:31(get_rotation_y)
   119600    0.016    0.000    0.016    0.000 entity.py:27(get_rotation_x)
   119600    0.015    0.000    0.015    0.000 entity.py:35(get_rotation_z)
        1    0.014    0.014    0.080    0.080 __init__.py:25(<module>)
   119600    0.014    0.000    0.014    0.000 entity.py:39(get_scale)
      598    0.013    0.000    0.065    0.000 maths.py:12(create_view_matrix)
      674    0.011    0.000    0.014    0.000 wrapper.py:1494(wrapper)
   457/87    0.011    0.000    0.032    0.000 sre_parse.py:395(_parse)
      299    0.010    0.000    0.325    0.001 terrain_renderer.py:10(render)
    12471    0.009    0.000    0.011    0.000 sre_parse.py:193(__next)
      299    0.009    0.000    0.011    0.000 camera.py:9(move)
4976/2488    0.009    0.000    0.013    0.000 constant.py:14(__new__)
        3    0.009    0.003    0.009    0.003 {pygame.imageext.load_extended}
        2    0.008    0.004    0.023    0.011 shader_program.py:7(__init__)
       38    0.008    0.000    0.019    0.000 baseplatform.py:400(__call__)
  301/294    0.008    0.000    0.074    0.000 {__import__}
    38348    0.007    0.000    0.008    0.000 {isinstance}
      600    0.007    0.000    0.007    0.000 shader_program.py:25(start)
        2    0.007    0.004    0.139    0.070 __init__.py:15(<module>)
   847/77    0.007    0.000    0.015    0.000 sre_compile.py:64(_compile)
        8    0.006    0.001    0.008    0.001 collections.py:305(namedtuple)
        1    0.006    0.006    0.142    0.142 pkgdata.py:18(<module>)
      299    0.006    0.000   11.475    0.038 master_renderer.py:24(render)
      900    0.005    0.000    0.005    0.000 images.py:61(setupDefaultTransferMode)
        1    0.005    0.005    0.009    0.009 zipfile.py:803(_RealGetContents)
     1196    0.005    0.000    0.006    0.000 shader_program.py:40(load_vector)
      900    0.005    0.000    0.005    0.000 images.py:71(rankPacking)
        1    0.005    0.005    0.018    0.018 GL_4_3.py:9(<module>)
     1794    0.005    0.000    0.005    0.000 shader_program.py:38(load_float)
      928    0.005    0.000    0.005    0.000 __init__.py:498(cast)
        3    0.005    0.002    0.016    0.005 loader.py:17(load_texture)
      900    0.004    0.000    0.018    0.000 images.py:450(__call__)
     1300    0.004    0.000    0.004    0.000 baseplatform.py:356(__init__)
      598    0.004    0.000    0.005    0.000 entity_renderer.py:32(unbind_textured_model)
    11511    0.004    0.000    0.014    0.000 sre_parse.py:212(get)
     3033    0.004    0.000    0.004    0.000 wrapper.py:100(__setattr__)
        1    0.003    0.003    0.019    0.019 utils.py:5(<module>)
        1    0.003    0.003    0.026    0.026 GL_1_1.py:9(<module>)
        1    0.003    0.003    0.058    0.058 __init__.py:106(<module>)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
     5398    0.003    0.000    0.008    0.000 {hasattr}
      299    0.003    0.000    0.007    0.000 static_shader.py:31(load_light)
      145    0.003    0.000    0.003    0.000 __init__.py:379(__getitem__)
      924    0.003    0.000    0.008    0.000 strings.py:10(dataPointer)
      602    0.003    0.000    0.003    0.000 shader_program.py:27(stop)
 1185/424    0.003    0.000    0.003    0.000 sre_parse.py:151(getwidth)
       35    0.003    0.000    0.003    0.000 {nt.stat}
       22    0.003    0.000    0.003    0.000 {nt.listdir}
        1    0.002    0.002    0.015    0.015 pyparsing.py:58(<module>)
      969    0.002    0.000    0.006    0.000 wrapper.py:258(setPyConverter)
        1    0.002    0.002    0.010    0.010 urllib.py:23(<module>)
35216/34784    0.002    0.000    0.002    0.000 {len}
        1    0.002    0.002    0.003    0.003 arraydatatype.py:1(<module>)
        1    0.002    0.002    0.011    0.011 utils.py:4(<module>)
        1    0.002    0.002    0.008    0.008 GL_4_2.py:9(<module>)
      269    0.002    0.000    0.004    0.000 sre_compile.py:256(_optimize_charset)
     3536    0.002    0.000    0.003    0.000 sre_parse.py:141(__getitem__)
     3594    0.002    0.000    0.003    0.000 images.py:425(asIntConverter)
4524/4400    0.002    0.000    0.004    0.000 {getattr}
      860    0.002    0.000    0.005    0.000 wrapper.py:291(setCConverter)
       12    0.002    0.000    0.002    0.000 GL_1_5.py:67(glBufferData)
       60    0.002    0.000    0.002    0.000 {nt._isdir}
      921    0.002    0.000    0.004    0.000 {method 'asArray' of 'OpenGL_accelerate.arraydatatype.ArrayDatatype' objects}
      163    0.002    0.000    0.011    0.000 baseplatform.py:132(constructFunction)
      299    0.002    0.000    0.054    0.000 static_shader.py:28(load_view_matrix)
        2    0.002    0.001    0.008    0.004 obj_file_loader.py:6(load_obj)
      299    0.002    0.000    0.002    0.000 {method 'tick' of 'Clock' objects}
        1    0.002    0.002    0.013    0.013 error.py:9(<module>)
      114    0.002    0.000    0.002    0.000 ctypesloader.py:50(buildFunction)
        1    0.002    0.002    0.003    0.003 numeric.py:1(<module>)
        3    0.002    0.001    0.002    0.001 {pygame.image.tostring}
        8    0.002    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        4    0.002    0.000    0.008    0.002 shader_program.py:50(load_shader)
        2    0.002    0.001    0.007    0.004 __init__.py:45(<module>)
        1    0.002    0.002    0.139    0.139 display_manager.py:1(<module>)
      299    0.002    0.000    0.002    0.000 {pygame.key.get_pressed}
        1    0.002    0.002    0.007    0.007 tempfile.py:18(<module>)
      299    0.002    0.000    0.002    0.000 terrain_renderer.py:29(unbind_textured_model)
  519/372    0.002    0.000    0.002    0.000 obj_file_loader.py:84(deal_with_already_processed_vertex)
      123    0.002    0.000    0.055    0.000 re.py:230(_compile)
        1    0.002    0.002    0.025    0.025 feedparser.py:20(<module>)
        1    0.002    0.002    0.012    0.012 GL_4_1.py:9(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:5(<module>)
        1    0.002    0.002    0.060    0.060 surfarray.py:60(<module>)
      611    0.002    0.000    0.002    0.000 zipfile.py:287(__init__)
      920    0.002    0.000    0.009    0.000 strings.py:17(from_param)
      598    0.002    0.000    0.005    0.000 static_shader.py:21(load_shine_variables)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
        1    0.001    0.001    0.022    0.022 message.py:5(<module>)
       66    0.001    0.000    0.016    0.000 __init__.py:1959(find_on_path)
        2    0.001    0.001    0.002    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x038033F0}
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.004    0.004 master_renderer.py:1(<module>)
      299    0.001    0.000    0.002    0.000 master_renderer.py:52(process_terrain)
      299    0.001    0.000    0.004    0.000 terrain_shader.py:31(load_light)
      143    0.001    0.000    0.001    0.000 __init__.py:116(WINFUNCTYPE)
        1    0.001    0.001    0.002    0.002 static_shader.py:1(<module>)
      480    0.001    0.000    0.010    0.000 wrapper.py:203(setInputArraySize)
        1    0.001    0.001    0.003    0.003 __init__.py:41(<module>)
      299    0.001    0.000    0.031    0.000 terrain_renderer.py:34(load_model_matrix)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
   310/77    0.001    0.000    0.032    0.000 sre_parse.py:317(_parse_sub)
        1    0.001    0.001    0.007    0.007 _internal.py:6(<module>)
        1    0.001    0.001    0.011    0.011 GL_1_1.py:1(<module>)
     1299    0.001    0.000    0.022    0.000 __init__.py:58(createFunction)
        1    0.001    0.001    0.007    0.007 win32.py:1(<module>)
        1    0.001    0.001    0.001    0.001 polynomial.py:55(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:1805(_index)
        2    0.001    0.001    0.001    0.001 obj_file_loader.py:65(convert_data_to_arrays)
      183    0.001    0.000    0.005    0.000 wrapper.py:126(setOutput)
        1    0.001    0.001    0.001    0.001 sndarray.py:57(<module>)
